Start Date,07/01/2019,,,,,,,,,,,,,,,
End Date,05/01/2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,SHEL LN Equity,BP/ LN Equity,BARC LN Equity,HSBA LN Equity,ULVR LN Equity,TSCO LN Equity,AZN LN Equity,GSK LN Equity,NG/ LN Equity,DGE LN Equity,IGLS LN Equity,VGOV LN Equity,SLXX LN Equity,GLDW LN Equity,UKX Index,GUKG10 Index
,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
Dates,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO
11/01/2019,10.8074,14.2609,16.9054,13.5679,12.4637,20.755,43.2096,16.7476,7.4035,22.0429,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.4639,#N/A N/A
18/01/2019,10.8324,14.3484,17.8344,13.6846,12.498,21.3738,42.2239,16.4555,7.4331,22.1414,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.5739,#N/A N/A
25/01/2019,10.5572,14.2105,17.6452,13.6952,12.4658,21.4119,41.6284,15.8165,7.3564,22.3297,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.2665,#N/A N/A
01/02/2019,11.1013,14.5188,17.0559,13.6219,12.5889,21.1358,42.9573,16.2886,7.7,23.69,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.6737,#N/A N/A
08/02/2019,11.1078,14.9658,16.7677,13.5217,12.9377,21.3453,43.3231,17.1825,7.7795,24.0589,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.7913,#N/A N/A
15/02/2019,11.1012,14.8815,17.1505,13.9611,13.1665,21.3453,47.2444,17.3603,7.7795,24.6078,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.1143,#N/A N/A
22/02/2019,11.1543,14.9337,16.7892,13.2743,13.0996,16.9794,47.3446,16.8684,7.9587,24.6214,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.0352,#N/A N/A
01/03/2019,11.0457,14.975,17.4731,13.2112,12.5619,17.4747,48.0507,16.5851,7.8451,24.208,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.1241,#N/A N/A
08/03/2019,10.7714,14.7899,17.0731,13.2259,13.0733,17.4138,47.9916,16.6071,8.0677,24.6258,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.1706,#N/A N/A
