Start Date,07/01/2019,,,,,,,,,,,,,,,,
End Date,05/01/2026,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,SHEL LN Equity,BP/ LN Equity,BARC LN Equity,HSBA LN Equity,ULVR LN Equity,TSCO LN Equity,AZN LN Equity,GSK LN Equity,NG/ LN Equity,DGE LN Equity,IGLS LN Equity,VGOV LN Equity,SLXX LN Equity,GLDW LN Equity,UKX Index,GUKG10 Index,VUKE LN Equity
,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,Dividend Indicated Yield
Dates,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD
11/01/2019,6.2454,6.0092,2.8622,5.8504,3.473,1.5321,3.5943,6.4814,5.8041,2.3771,0.3912,1.1919,2.7005,#N/A N/A,#N/A N/A,#N/A N/A,3.3714
18/01/2019,6.2441,5.9851,2.7131,5.8127,3.5089,1.4878,3.686,6.5965,5.781,2.3715,0.392,1.1982,2.6971,#N/A N/A,#N/A N/A,#N/A N/A,3.3444
25/01/2019,6.5506,6.1787,2.7422,5.9384,3.5817,1.4851,3.8225,6.863,5.8413,2.4043,0.392,1.188,2.678,#N/A N/A,#N/A N/A,#N/A N/A,3.4245
01/02/2019,6.1581,6.0057,2.837,5.9292,3.4699,1.5045,3.6787,6.664,5.5806,2.2919,0.3917,1.1807,2.6526,#N/A N/A,#N/A N/A,#N/A N/A,3.3216
08/02/2019,6.0816,5.8855,2.8857,5.9024,3.3772,1.4897,3.6044,6.3174,5.5236,2.23,0.3908,1.1685,2.6344,#N/A N/A,#N/A N/A,#N/A N/A,3.3056
15/02/2019,6.0565,5.8909,2.8213,5.6896,3.3196,1.4897,3.4172,6.2527,5.5236,2.17,0.391,1.792,2.6339,#N/A N/A,#N/A N/A,#N/A N/A,3.2172
22/02/2019,6.1209,5.9611,4.1629,6.2473,3.3663,1.4991,3.4627,6.435,5.3993,2.2024,0.3911,1.7953,2.6298,#N/A N/A,#N/A N/A,#N/A N/A,3.2358
01/03/2019,6.2459,6.0069,4,6.3429,3.5413,1.4566,3.4476,6.5449,5.4775,2.2634,0.3918,1.8203,2.6368,#N/A N/A,#N/A N/A,#N/A N/A,3.2629
