Start Date,07/01/2019,,,,,,,,,,,,,,,,
End Date,05/01/2026,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,SHEL LN Equity,BP/ LN Equity,BARC LN Equity,HSBA LN Equity,ULVR LN Equity,TSCO LN Equity,AZN LN Equity,GSK LN Equity,NG/ LN Equity,DGE LN Equity,IGLS LN Equity,VGOV LN Equity,SLXX LN Equity,SGLN LN Equity,UKX Index,GUKG10 Index,VUKE LN Equity
,#NAME?,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
11/01/2019,2361.5,521.2,157.22,647.6,4396.362,276.133,5712,1542.875,743.715,2747,132.66,22.685,139.42,1972.25,6918.18,1.29,30.66
18/01/2019,2362,523.3,165.86,651.8,4351.326,284.367,5570,1515.967,746.684,2753.5,132.39,22.56625,139.6,1949.75,6968.33,1.353,30.9075
25/01/2019,2251.5,506.9,164.1,638,4262.863,284.873,5371,1457.092,738.983,2716,132.405,22.76,140.595,1935.75,6809.22,1.305,30.185
01/02/2019,2384,521.5,158.62,639,4358.832,281.2,5581,1500.591,773.501,2901.5,132.515,22.9,141.94,1974.25,7020.22,1.248,31.12
08/02/2019,2414,544,155.94,641.9,4478.392,283.987,5696,1582.934,781.481,2982,132.8,23.14,142.92,1992.25,7071.18,1.151,31.27
15/02/2019,2424,543.5,159.5,665.9,4556.133,283.987,6241,1599.322,781.481,3064.5,132.735,23.1025,142.95,2008,7236.68,1.16,32.13
22/02/2019,2398.5,537.1,156.14,623.5,4492.868,282.213,6159,1554.003,799.482,3019.5,132.69,23.06,143.17,1997.75,7178.6,1.158,31.945
01/03/2019,2350.5,533,162.5,614.1,4270.905,290.447,6186,1527.904,788.069,2938,132.48,22.7425,142.79,1933,7106.73,1.296,31.68
